country,people_fully_vaccinated,popuation
United States,62392065,328200000
India,10833617,1366000000
Turkey,7197068,82000000
United Kingdom,5432126,66270000
Israel,4861451,9053000
Brazil,4832020,211000000
Russia,4638702,144400000
England,4344251,55980000
Germany,4334150,83020000
Chile,4042671,18950000
Indonesia,4014803,270000000
Morocco,3951023,36470000
Italy,3481428,60360000
France,3109768,37970000
Spain,2852806,46940000
United Arab Emirates,2187849,9771000
Poland,2073334,67060000
Mexico,1174175,127600000
Canada,718462,37590000
China,0,1398000000
